path,bytes,sha256,contains_expanded_universe,contains_active,contains_canonical,contains_v2_20m,selected_for_update,selection_reason
outputs\full_universe_source_acquisition\asx_active_pointer_decision_gate_v2_20o.json,22299,48149a1d722d0c40d1c41b1481d6f39ae5ef730e22a245aa39bba29b1a26e114,True,True,True,True,False,pointer discovery only; no existing pointer is modified in v2.21E_S
outputs\full_universe_source_acquisition\asx_active_pointer_update_plan_v2_20p.json,144679,d7e6deb970780a6844c79e8ae441aa071757e27bbec1378b04b834d453531088,True,True,True,True,False,pointer discovery only; no existing pointer is modified in v2.21E_S
outputs\full_universe_source_acquisition\asx_active_pointer_update_validation_v2_20r.json,80400,8c754b471f32eac1b289e657058215d02857fd01801b36bd7d2d413f0eee85ae,True,True,True,True,False,pointer discovery only; no existing pointer is modified in v2.21E_S
outputs\full_universe_source_acquisition\asx_controlled_active_pointer_update_v2_20q.json,77300,3bf0aa59b2a9a2f092e7d94c045048e77a7c7c610772d0875cb40d274f8d54ef,True,True,True,True,False,pointer discovery only; no existing pointer is modified in v2.21E_S
outputs\full_universe_source_acquisition\asx_post_pointer_operational_readiness_gate_v2_20s.json,24696,2ef773532464fccdc74bf5632ac38ad9cf3206cad03d1fd3c6f0c565c4503888,True,True,True,True,False,pointer discovery only; no existing pointer is modified in v2.21E_S
outputs\full_universe_source_acquisition\asx_canonical_promotion_dry_run_v2_20l.json,20890,4e4ce3807185d295c522532aeaa18e118ea3a5affdaf9cdee64d801efffc5bf9,True,True,True,True,False,pointer discovery only; no existing pointer is modified in v2.21E_S
outputs\full_universe_source_acquisition\asx_canonical_promotion_plan_v2_20k.json,17995,0817b6a86f80b391e79bd61acdb4017e67ee62ae9c221386b943bba6817e3e47,True,True,True,True,False,pointer discovery only; no existing pointer is modified in v2.21E_S
outputs\full_universe_source_acquisition\asx_promoted_canonical_validation_v2_20n.json,24232,9ae92833665fc1bd5c4ced9baf4ec518ffc49035e285b57d648b67eb20c56207,True,True,True,True,False,pointer discovery only; no existing pointer is modified in v2.21E_S
outputs\full_universe_source_acquisition\hkex_candidate_validation_against_canonical_dry_run_v2_19o.json,9564,976937a0ce71d7b0886e3c40bb7da684314adbe4792d553672aabc6d8ab093b9,True,True,True,False,False,pointer discovery only; no existing pointer is modified in v2.21E_S
outputs\full_universe_source_acquisition\nse_india_candidate_validation_against_canonical_dry_run_v2_17f.json,297167,cfc809f56a10fc1c9d7a3477a586b6ea4c3787e1ba59b2ac4fb1718b8843d175,True,True,True,False,False,pointer discovery only; no existing pointer is modified in v2.21E_S
outputs\full_universe_source_acquisition\tmx_candidate_validation_against_canonical_v2_16f.json,21875,b33e80f6a712d1ead1bde7580113e0fd9243b75c6bbadcd1928edb50a836d8b8,True,False,True,False,False,pointer discovery only; no existing pointer is modified in v2.21E_S
outputs\full_universe_source_acquisition\twse_tpex_candidate_validation_against_canonical_dry_run_v2_18f.json,9145,70f13b3fa483e56033b8d0a2de8671eca3826e6acb73be7d2e775066ec9fca64,True,True,True,False,False,pointer discovery only; no existing pointer is modified in v2.21E_S
