metric,value
selected_route,Post-targeted-markets explicit scoring decision gate
phase_type,post-targeted-markets-explicit-scoring-decision-gate
scoring_decision,SCORING_DEFERRED_POINTER_HARDENING_AND_PRE_SCORING_AUDIT_REQUIRED
activated_operational_reference_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_21h_activated_operational_reference.csv
activated_operational_reference_rows,43089
activated_operational_reference_sha,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
previous_operational_base_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_20m_asx_promoted.csv
previous_operational_base_rows,42708
previous_operational_base_sha,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
rollback_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_14e.csv
rollback_rows,38287
rollback_sha,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
final_reference_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_21g_final_reference.csv
final_reference_rows,43089
final_reference_sha,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
quality_floor_target,42000
quality_ceiling_target,45000
remaining_capacity,1911
total_added_rows_vs_previous_operational_base,381
approved_for_pointer_convention_hardening,True
approved_for_pre_scoring_data_quality_audit,True
approved_for_scoring_dry_run,False
scoring_authorized,False
scoring_executed,False
scoring_output_created,False
scoring_promotion_authorized,False
canonical_dataset_modified,False
active_canonical_replaced,False
pointer_update_performed,False
openai_authorized,False
openai_called,False
broker_authorized,False
broker_called,False
full59k,DEPRECATED_DEFERRED
critical_failed_checks,0
warning_failed_checks,0
recommended_next_phase,v2.22B - Operational Pointer Convention Hardening
secondary_next_phase,v2.22C - Pre-Scoring Data Quality Audit
conditional_next_phase,v2.22D - Scoring Dry Run / No Promotion
