rebuild_candidate_status,category,subcategory,decision_reason,rows
EXCLUDED,Derivative Warrants,,NON_EQUITY_CATEGORY_EXCLUDED,7420
EXCLUDED,Callable Bull/Bear Contracts,,NON_EQUITY_CATEGORY_EXCLUDED,5595
ACCEPTED_FOR_REBUILD_CANDIDATE,Equity,Equity Securities (Main Board),ACCEPTED_HKEX_EQUITY_ALLOWLIST,2467
EXCLUDED,Debt Securities,,NON_EQUITY_CATEGORY_EXCLUDED,1339
EXCLUDED,Exchange Traded Products,Exchange Traded Funds,NON_EQUITY_CATEGORY_EXCLUDED,372
ACCEPTED_FOR_REBUILD_CANDIDATE,Equity,Equity Securities (GEM),ACCEPTED_HKEX_EQUITY_ALLOWLIST,309
EXCLUDED,Exchange Traded Products,Leveraged and Inverse,NON_EQUITY_CATEGORY_EXCLUDED,40
ACCEPTED_FOR_REBUILD_CANDIDATE,Equity,Investment Companies,ACCEPTED_HKEX_EQUITY_ALLOWLIST,22
EXCLUDED,Real Estate Investment Trusts,,NON_EQUITY_CATEGORY_EXCLUDED,11
ACCEPTED_FOR_REBUILD_CANDIDATE,Equity,Trading Only Securities,ACCEPTED_HKEX_EQUITY_ALLOWLIST,6
EXCLUDED,Equity Warrants (Main Board),,NON_EQUITY_CATEGORY_EXCLUDED,5
EXCLUDED,Equity,Depositary Receipts,EQUITY_SUBCATEGORY_NOT_IN_ALLOWLIST,2
EXCLUDED,Equity Warrants (GEM),,NON_EQUITY_CATEGORY_EXCLUDED,1
