artifact,path,rows,sha256,role
hygiene_report_input,outputs\full_universe_source_acquisition\repo_hygiene_untracked_files_review_v2_22f.json,1,c45d5dc3c9f4b0c69b00fa57237c8cd16f76849552fc3a91fda02a576ec8a544,input_repo_hygiene_gate
freeze_report_input,outputs\full_universe_source_acquisition\scoring_promotion_freeze_decision_v2_22e.json,1,738fd7f08cd9a26cdcafa7e48f7592ca7f821f5c68b280da77c96c1a061941a3,input_scoring_freeze_gate
dry_run_report_input,outputs\full_universe_source_acquisition\scoring_dry_run_no_promotion_v2_22d.json,1,bda7bf87eb5038606887cb97a3011c7d3bda1909864e94189001873bb0f773ae,input_scoring_dry_run_report
current_operational_pointer_input,outputs\full_universe_source_acquisition\current_operational_universe_pointer.json,1,61ceca33292a20e00f21a1cb34f7c824c50944818111b8c02834a2e7c74eabf4,input_pointer
current_dataset_input,outputs\full_universe_source_acquisition\expanded_universe_v2_21h_activated_operational_reference.csv,43089,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707,input_dataset_no_modification
dry_run_scores_input,outputs\full_universe_source_acquisition\scoring_dry_run_no_promotion_scores_v2_22d.csv,33498,a93d48e4bdead6ca8e378a9949cf056c4970e9c1f6a2e8963d7ddbb170e358d1,input_scores_no_modification
dry_run_distribution_input,outputs\full_universe_source_acquisition\scoring_dry_run_no_promotion_score_distribution_v2_22d.csv,5,d27673b435f31621082e670ce282e8a67d612a87bbf8437574244267282fb634,input_distribution_no_modification
dry_run_components_input,outputs\full_universe_source_acquisition\scoring_dry_run_no_promotion_score_components_v2_22d.csv,6,4173877a98d3ea6bc3a3083925f76efc1b947c5ba0e8c2bc688f90b6393e33c5,input_components_no_modification
calibration_requirements_output,outputs\full_universe_source_acquisition\scoring_model_calibration_roadmap_requirements_v2_23a.csv,6,6e0d3c40390a674a239b1802da7b97fd1c9f3a05015534001312a321e8df1735,roadmap_requirements_output
calibration_phases_output,outputs\full_universe_source_acquisition\scoring_model_calibration_roadmap_phases_v2_23a.csv,4,7c23cd1f860fa7d2a4c8443a7201c5478cbda763ba8f42182187f459ed27a74e,roadmap_phases_output
calibration_risks_output,outputs\full_universe_source_acquisition\scoring_model_calibration_roadmap_risks_v2_23a.csv,4,875d9946b515f455fbab16d05ffcc12c043d7954133dd2fd133c7583163c607c,roadmap_risks_output
