dataset_scope,source_provider,rows,country_missing_rows,mic_missing_rows,currency_missing_rows,asset_type_missing_rows,instrument_type_missing_rows,instrument_scope_missing_rows,priority_score,recommended_action
current_operational_dataset,cboe_europe_reference_data,21154,21154,21154,21154,21154,0,21154,84616,review_provider_mapping_rules
current_operational_dataset,nasdaq_trader_nasdaqlisted,3244,0,3244,3244,3244,0,0,9732,review_provider_mapping_rules
current_operational_dataset,nasdaq_trader_otherlisted,2404,0,2404,2404,2404,0,0,7212,review_provider_mapping_rules
current_operational_dataset,sec_company_tickers_exchange,2359,0,2359,2359,2359,0,0,7077,review_provider_mapping_rules
current_operational_dataset,jpx_listed_securities,3705,0,0,0,3705,0,3705,3705,review_provider_mapping_rules
current_operational_dataset,cboe_listed_symbols,1193,0,1193,1193,1193,0,0,3579,review_provider_mapping_rules
current_operational_dataset,hkex_securities_list,2804,0,0,0,2804,2804,2804,2804,review_provider_mapping_rules
current_operational_dataset,__MISSING_PROVIDER__,2013,0,2013,0,0,2013,2013,2013,review_provider_mapping_rules
current_operational_dataset,deutsche_boerse_xetra_all_tradable_instruments,1424,0,0,1424,0,0,1424,1424,review_provider_mapping_rules
current_operational_dataset,TWSE,696,0,0,0,696,0,0,696,review_provider_mapping_rules
current_operational_dataset,HKEX,396,0,0,0,396,396,396,396,review_provider_mapping_rules
current_operational_dataset,SFC_SIMEV_RNVE,23,0,0,0,23,0,23,23,review_provider_mapping_rules
current_operational_dataset,ASX,1316,0,0,0,0,0,0,0,no_immediate_action
current_operational_dataset,sgx_structured_endpoint,358,0,0,0,0,0,0,0,no_immediate_action
scorable_dry_run_output,cboe_europe_reference_data,11790,11790,11790,11790,11790,0,11790,47160,review_provider_mapping_rules
scorable_dry_run_output,nasdaq_trader_nasdaqlisted,3241,0,3241,3241,3241,0,0,9723,review_provider_mapping_rules
scorable_dry_run_output,nasdaq_trader_otherlisted,2371,0,2371,2371,2371,0,0,7113,review_provider_mapping_rules
scorable_dry_run_output,sec_company_tickers_exchange,2217,0,2217,2217,2217,0,0,6651,review_provider_mapping_rules
scorable_dry_run_output,jpx_listed_securities,3704,0,0,0,3704,0,3704,3704,review_provider_mapping_rules
scorable_dry_run_output,cboe_listed_symbols,1193,0,1193,1193,1193,0,0,3579,review_provider_mapping_rules
scorable_dry_run_output,hkex_securities_list,2804,0,0,0,2804,2804,2804,2804,review_provider_mapping_rules
scorable_dry_run_output,__MISSING_PROVIDER__,2013,0,2013,0,0,2013,2013,2013,review_provider_mapping_rules
scorable_dry_run_output,deutsche_boerse_xetra_all_tradable_instruments,1424,0,0,1424,0,0,1424,1424,review_provider_mapping_rules
scorable_dry_run_output,TWSE,696,0,0,0,696,0,0,696,review_provider_mapping_rules
scorable_dry_run_output,HKEX,379,0,0,0,379,379,379,379,review_provider_mapping_rules
scorable_dry_run_output,SFC_SIMEV_RNVE,19,0,0,0,19,0,19,19,review_provider_mapping_rules
scorable_dry_run_output,ASX,1289,0,0,0,0,0,0,0,no_immediate_action
scorable_dry_run_output,sgx_structured_endpoint,358,0,0,0,0,0,0,0,no_immediate_action
