source_id,artifact_id,source_role,url,method,official_scope_allowed,acquisition_status,http_status,content_type,content_length_header,response_bytes,response_sha256,ssl_mode,error_type,error_message,artifact_path,artifact_exists,artifact_bytes,artifact_sha256,parse_hint,notes
official_session_warmup,official_session_warmup_1,repair_session_warmup,https://global.krx.co.kr/,GET,True,captured,200,text/html,354,354,e4991cb722fbadfe135815ea275afaea13aeeb95eb30aaeab6bd4abb1c2f19e4,default_ssl,,,outputs\full_universe_source_acquisition\raw\krx_v2_19c_fix\warmup_1_global_krx_co_kr_d87b39d379.html,True,354,e4991cb722fbadfe135815ea275afaea13aeeb95eb30aaeab6bd4abb1c2f19e4,html_or_dynamic_page,Official session warmup captured to initialize cookies before repair requests.
official_session_warmup,official_session_warmup_2,repair_session_warmup,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd,GET,True,captured,403,text/html;charset=ISO-8859-1,2421,2421,f6c70a41288693f9ab44ca945865bcf46578214b05d43b3aabf1e03ff040279b,default_ssl,HTTPError,HTTP Error 403: Forbidden,outputs\full_universe_source_acquisition\raw\krx_v2_19c_fix\warmup_2_data_krx_co_kr_contents_MDC_MAIN_main_index_cmd_b6127483f5.html,True,2421,f6c70a41288693f9ab44ca945865bcf46578214b05d43b3aabf1e03ff040279b,html_or_dynamic_page,Official session warmup captured to initialize cookies before repair requests.
krx_global_listed_company,krx_global_listed_company_page_refetch,primary_candidate_source,https://global.krx.co.kr/contents/GLB/03/0308/0308010000/GLB0308010000.jsp,GET,True,captured,200,text/html;charset=UTF-8,,149501,9220f41d424f9d9947a1b0a4cfe958965bb44a67952300c554c38a995ee5fd53,default_ssl,,,outputs\full_universe_source_acquisition\raw\krx_v2_19c_fix\krx_global_listed_company_page_refetch_global_krx_co_kr_contents_GLB_03_0308_0308010000_GLB0308010000_jsp_67f4d6ebd2.html,True,149501,9220f41d424f9d9947a1b0a4cfe958965bb44a67952300c554c38a995ee5fd53,html_or_dynamic_page,Refetch KRX Global Listed Company page with browser-like repair headers and cookie jar.
krx_global_listed_company,krx_global_listed_company_page_locale_en,primary_candidate_source,https://global.krx.co.kr/contents/GLB/03/0308/0308010000/GLB0308010000.jsp?locale=en,GET,True,captured,200,text/html;charset=UTF-8,149501,149501,e927154100aab70e4174e8dea7d1b8e0198da98a26000520b2e3d35c89def236,default_ssl,,,outputs\full_universe_source_acquisition\raw\krx_v2_19c_fix\krx_global_listed_company_page_locale_en_global_krx_co_kr_contents_GLB_03_0308_0308010000_GLB0308010000_jsp_c5214e5917.html,True,149501,e927154100aab70e4174e8dea7d1b8e0198da98a26000520b2e3d35c89def236,html_or_dynamic_page,Fetch locale=en variant to check whether structured content differs.
krx_data_marketplace_information,krx_data_marketplace_information_download_guide,repair_reference_source,https://data.krx.co.kr/contents/MDC/INFO/informationController/MDCINFO002.cmd,GET,True,captured,403,text/html;charset=ISO-8859-1,2421,2421,f6c70a41288693f9ab44ca945865bcf46578214b05d43b3aabf1e03ff040279b,default_ssl,HTTPError,HTTP Error 403: Forbidden,outputs\full_universe_source_acquisition\raw\krx_v2_19c_fix\krx_data_marketplace_information_download_guide_data_krx_co_kr_contents_MDC_INFO_informationController_MDCINFO002_cmd_5ced478fea.html,True,2421,f6c70a41288693f9ab44ca945865bcf46578214b05d43b3aabf1e03ff040279b,html_or_dynamic_page,Capture official Data Marketplace information/download guide page.
krx_data_marketplace_all_listed_issues,krx_data_marketplace_main_page_ko,primary_or_crosscheck_source,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd,GET,True,captured,403,text/html;charset=ISO-8859-1,2421,2421,f6c70a41288693f9ab44ca945865bcf46578214b05d43b3aabf1e03ff040279b,default_ssl,HTTPError,HTTP Error 403: Forbidden,outputs\full_universe_source_acquisition\raw\krx_v2_19c_fix\krx_data_marketplace_main_page_ko_data_krx_co_kr_contents_MDC_MAIN_main_index_cmd_b6127483f5.html,True,2421,f6c70a41288693f9ab44ca945865bcf46578214b05d43b3aabf1e03ff040279b,html_or_dynamic_page,Retry KRX Data Marketplace main page without locale parameter using cookie jar.
public_data_portal_krx_listed_stock_info,public_data_portal_krx_openapi_catalog_json,supporting_or_fallback_source,https://www.data.go.kr/catalog/15094775/openapi.json,GET,True,captured,200,text/html;charset=UTF-8,,2318,d8c47b089155ce638b46534cb151c30be1d96a4dc8cac165c7f19313b52f6ebc,default_ssl,,,outputs\full_universe_source_acquisition\raw\krx_v2_19c_fix\public_data_portal_krx_openapi_catalog_json_www_data_go_kr_catalog_15094775_openapi_json_d6422db85d.json,True,2318,d8c47b089155ce638b46534cb151c30be1d96a4dc8cac165c7f19313b52f6ebc,html_or_dynamic_page,Capture official data.go.kr JSON catalog metadata for KRX listed stock information.
krx_data_marketplace_all_listed_issues,krx_data_marketplace_otp_mdcstat01901_all,primary_or_crosscheck_source,https://data.krx.co.kr/comm/fileDn/GenerateOTP/generate.cmd,POST,True,captured,403,text/html;charset=ISO-8859-1,2421,2421,f6c70a41288693f9ab44ca945865bcf46578214b05d43b3aabf1e03ff040279b,default_ssl,HTTPError,HTTP Error 403: Forbidden,outputs\full_universe_source_acquisition\raw\krx_v2_19c_fix\krx_data_marketplace_otp_mdcstat01901_all_data_krx_co_kr_comm_fileDn_GenerateOTP_generate_cmd_6d32e141c9.txt,True,2421,f6c70a41288693f9ab44ca945865bcf46578214b05d43b3aabf1e03ff040279b,html_or_dynamic_page,Retry official KRX GenerateOTP for MDCSTAT01901 all-market listed issues.
krx_data_marketplace_all_listed_issues,krx_data_marketplace_otp_mdcstat01901_stk,primary_or_crosscheck_source,https://data.krx.co.kr/comm/fileDn/GenerateOTP/generate.cmd,POST,True,captured,403,text/html;charset=ISO-8859-1,2421,2421,f6c70a41288693f9ab44ca945865bcf46578214b05d43b3aabf1e03ff040279b,default_ssl,HTTPError,HTTP Error 403: Forbidden,outputs\full_universe_source_acquisition\raw\krx_v2_19c_fix\krx_data_marketplace_otp_mdcstat01901_stk_data_krx_co_kr_comm_fileDn_GenerateOTP_generate_cmd_6d32e141c9.txt,True,2421,f6c70a41288693f9ab44ca945865bcf46578214b05d43b3aabf1e03ff040279b,html_or_dynamic_page,Retry official KRX GenerateOTP for MDCSTAT01901 KOSPI/STK listed issues.
krx_data_marketplace_all_listed_issues,krx_data_marketplace_otp_mdcstat01901_ksq,primary_or_crosscheck_source,https://data.krx.co.kr/comm/fileDn/GenerateOTP/generate.cmd,POST,True,captured,403,text/html;charset=ISO-8859-1,2421,2421,f6c70a41288693f9ab44ca945865bcf46578214b05d43b3aabf1e03ff040279b,default_ssl,HTTPError,HTTP Error 403: Forbidden,outputs\full_universe_source_acquisition\raw\krx_v2_19c_fix\krx_data_marketplace_otp_mdcstat01901_ksq_data_krx_co_kr_comm_fileDn_GenerateOTP_generate_cmd_6d32e141c9.txt,True,2421,f6c70a41288693f9ab44ca945865bcf46578214b05d43b3aabf1e03ff040279b,html_or_dynamic_page,Retry official KRX GenerateOTP for MDCSTAT01901 KOSDAQ/KSQ listed issues.
