field,identity_field,tracked_for_change,blank_regression_blocking
ticker,true,true,false
company_name,false,true,false
exchange,true,true,false
country,false,true,true
source_provider,true,true,true
source_file,false,true,false
instrument_type,false,true,true
instrument_scope,false,true,true
classification_confidence,false,true,false
classification_reason,false,true,false
sector,false,true,false
industry,false,true,false
market_cap,false,true,false
raw_cik,false,true,false
raw_exchange,false,true,false
provider_precedence,false,true,false
merge_action,false,true,false
merge_reason,false,true,false
isin,true,true,false
currency,false,true,true
mic,false,true,true
source_version,false,true,false
source_url,false,true,false
hkex_category,false,true,false
hkex_subcategory,false,true,false
hkex_board_lot,false,true,false
provider,false,true,false
source_phase,false,true,false
symbol,true,true,false
security_name,false,true,false
instrument_id,true,true,false
product_assignment_group_description,false,true,false
asset_type,false,true,true
