metric,value
selected_provider,ASX
phase_type,closure-report-only
closure_decision,ASX_PROVIDER_ROUTE_CLOSED_SUCCESSFULLY
active_canonical_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_14e.csv
active_canonical_rows,38287
active_canonical_sha,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
previous_current_candidate,outputs\full_universe_source_acquisition\expanded_universe_candidate_hkex_v2_19p.csv
previous_current_candidate_rows,41392
previous_current_candidate_sha,3f864f1fc0196d9ec3b9ed1b2e8fa3f11c6a109933e0c07c212dc8e89d8b571c
validated_asx_candidate,outputs\full_universe_source_acquisition\expanded_universe_candidate_asx_v2_20g.csv
validated_asx_candidate_rows,42708
validated_asx_candidate_sha,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
asx_net_new_rows,1316
row_arithmetic,41392+1316=42708
quality_floor_target,42000
quality_ceiling_target,45000
quality_floor_crossed,True
quality_ceiling_not_exceeded,True
rows_above_quality_floor,708
remaining_capacity_to_quality_ceiling,2292
aspirational_target,50000
rows_to_aspirational_50k,7292
target_result,OPERATIONAL_42K_FLOOR_ACHIEVED_WITHOUT_EXCEEDING_45K
canonical_promotion_status,NOT_PROMOTED_DECISION_GATE_READY
critical_failed_checks,0
warning_failed_checks,0
next_phase,v2.20J - ASX Candidate Promotion Decision Gate
full59k,DEPRECATED_DEFERRED
