action,exchange,ticker,source_provider,reason
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AAAA,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AAOX,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AAPR,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AAPW,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AAPX,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AAPY,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AAUA,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AAUM,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ABFL,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ABLD,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ABLG,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ABLS,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ABOT,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ABUF,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ABXB,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ACIO,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ACSG,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ACSI,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ACSV,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ACWV,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ADFI,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ADME,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AEMS,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AESR,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AFIF,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AFRU,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AIOO,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AJAN,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AJUL,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AMDW,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AMZO,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AMZP,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AMZW,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AOCT,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,APHU,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,APLX,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,APLZ,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,APOC,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,APRB,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,APRH,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,APRJ,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,APRP,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,APRT,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,APRW,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,APRZ,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,APXM,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AQEC,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AQLT,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ARCM,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ARCX,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ARKD,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ARKF,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ARKG,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ARKK,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ARKQ,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ARKT,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ARKW,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ARKX,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ARLU,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ARMW,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ARWG,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ASTN,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ASTX,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,ATTR,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AUGM,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AUGP,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AUGT,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AUGU,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AUGW,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AUGZ,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AVGW,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
ADD_CBOE_CANDIDATE_NET_NEW,CBOE,AVRY,cboe_listed_symbols,Net-new exchange+ticker candidate from v2.8C.
