metric,value
selected_provider,ASX
phase_type,expanded-rebuild-candidate-only
input_current_candidate,outputs\full_universe_source_acquisition\expanded_universe_candidate_hkex_v2_19p.csv
input_asx_net_new,outputs\full_universe_source_acquisition\asx_candidate_validation_net_new_candidates_v2_20f.csv
expanded_candidate,outputs\full_universe_source_acquisition\expanded_universe_candidate_asx_v2_20g.csv
current_validated_candidate_rows,41392
asx_net_new_rows_appended,1316
expanded_candidate_rows,42708
quality_floor_target,42000
quality_ceiling_target,45000
quality_floor_crossed,True
quality_ceiling_not_exceeded,True
rows_above_quality_floor,708
remaining_capacity_to_quality_ceiling,2292
aspirational_target,50000
rows_to_aspirational_50k_after_rebuild,7292
schema_column_count,33
schema_preserved,True
current_prefix_preserved,True
appended_tail_matches,True
duplicate_appended_tickers,0
duplicate_appended_symbols,0
duplicate_appended_isins,0
appended_tickers_already_current,0
appended_symbols_already_current,0
appended_isins_already_current,0
active_canonical_rows,38287
active_canonical_sha,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f
current_validated_candidate_sha,3f864f1fc0196d9ec3b9ed1b2e8fa3f11c6a109933e0c07c212dc8e89d8b571c
expanded_candidate_sha,892aaadd2fb87026fa63a935534afe851cbadfb420d48f28b90fd6aedd3f0127
appended_rows_sha,48cdcc8b28740421740ef6e14c830b37c1efcf03802fc2740f5555d891e23da4
critical_failed_checks,0
warning_failed_checks,0
next_phase,v2.20H - ASX Expanded Validation
full59k,DEPRECATED_DEFERRED
