metric,value
selected_route,Metadata coverage improvement plan before scoring calibration data design
phase_type,metadata-coverage-improvement-plan
metadata_decision,METADATA_COVERAGE_PLAN_CREATED_NO_DATASET_MODIFICATION
current_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_21h_activated_operational_reference.csv
current_dataset_rows,43089
current_dataset_sha,9d33b0e4d7e309889d67e5a6d67c2fdfd4475b0d7cf5bf51ab0b71acb4db4707
dry_run_scoring_output,outputs\full_universe_source_acquisition\scoring_dry_run_no_promotion_scores_v2_22d.csv
dry_run_scoring_output_rows,33498
dry_run_scoring_output_sha,a93d48e4bdead6ca8e378a9949cf056c4970e9c1f6a2e8963d7ddbb170e358d1
coverage_metrics_created,24
high_or_critical_gap_metrics,12
gap_plan_rows,5
provider_priority_rows,28
scorable_country_top_value,__MISSING__
scorable_country_missing_pct,35.1961
production_scoring_authorized,False
new_scoring_executed,False
metadata_backfill_executed,False
canonical_dataset_modified,False
dry_run_score_output_modified,False
openai_authorized,False
openai_called,False
broker_authorized,False
broker_called,False
full59k,DEPRECATED_DEFERRED
critical_failed_checks,0
warning_failed_checks,0
recommended_next_phase,v2.23C - Scoring Calibration Data Design
secondary_next_phase,v2.23D - Scoring Formula Redesign Dry Run
