row_number,ticker,company_name,exchange,country,source_provider,instrument_type,isin,currency,type_bucket_v2_33a,missing_ticker,missing_company_name,missing_country,missing_isin,missing_currency,missing_sector,missing_industry,missing_market_cap,duplicate_exchange_ticker,duplicate_isin_cross_listing_candidate,identity_complete,financial_coverage_fields_present,v2_33a_status,eligibility_decision_v2_33b,eligibility_reason_v2_33b,eligible_for_financial_enrichment,eligible_for_opportunity_ranking,opportunity_ranking_block_reason,eligibility_decision_v2_33b2,eligibility_reason_v2_33b2,eligibility_refinement_v2_33b2
36865,XD4,STRABAG SE-BR,XETR,AT,deutsche_boerse_xetra_all_tradable_instruments,CS,AT000000STR1,,common_equity_candidate,False,False,False,False,True,True,True,True,False,False,True,0,audited_pending_eligibility_policy_v2_33b,eligible_for_financial_enrichment,equity_or_depositary_receipt_with_complete_operational_identity,False,False,financial_and_market_coverage_not_yet_available_or_validated,repaired_v2_33p,xetra_company_name_recovered_via_openfigi_isin_exact_match,hold_provider_schema_xetra
36866,RAW,RAIFFEISEN BANK INTERNATIONA,XETR,AT,deutsche_boerse_xetra_all_tradable_instruments,CS,AT0000606306,,common_equity_candidate,False,False,False,False,True,True,True,True,False,False,True,0,audited_pending_eligibility_policy_v2_33b,eligible_for_financial_enrichment,equity_or_depositary_receipt_with_complete_operational_identity,False,False,financial_and_market_coverage_not_yet_available_or_validated,repaired_v2_33p,xetra_company_name_recovered_via_openfigi_isin_exact_match,hold_provider_schema_xetra
36867,ABS2,PORR AG,XETR,AT,deutsche_boerse_xetra_all_tradable_instruments,CS,AT0000609607,,common_equity_candidate,False,False,False,False,True,True,True,True,False,False,True,0,audited_pending_eligibility_policy_v2_33b,eligible_for_financial_enrichment,equity_or_depositary_receipt_with_complete_operational_identity,False,False,financial_and_market_coverage_not_yet_available_or_validated,repaired_v2_33p,xetra_company_name_recovered_via_openfigi_isin_exact_match,hold_provider_schema_xetra
36868,EBO,ERSTE GROUP BANK AG,XETR,AT,deutsche_boerse_xetra_all_tradable_instruments,CS,AT0000652011,,common_equity_candidate,False,False,False,False,True,True,True,True,False,False,True,0,audited_pending_eligibility_policy_v2_33b,eligible_for_financial_enrichment,equity_or_depositary_receipt_with_complete_operational_identity,False,False,financial_and_market_coverage_not_yet_available_or_validated,repaired_v2_33p,xetra_company_name_recovered_via_openfigi_isin_exact_match,hold_provider_schema_xetra
36869,AZ2,ANDRITZ AG,XETR,AT,deutsche_boerse_xetra_all_tradable_instruments,CS,AT0000730007,,common_equity_candidate,False,False,False,False,True,True,True,True,False,False,True,0,audited_pending_eligibility_policy_v2_33b,eligible_for_financial_enrichment,equity_or_depositary_receipt_with_complete_operational_identity,False,False,financial_and_market_coverage_not_yet_available_or_validated,repaired_v2_33p,xetra_company_name_recovered_via_openfigi_isin_exact_match,hold_provider_schema_xetra
36870,OMV,OMV AG,XETR,AT,deutsche_boerse_xetra_all_tradable_instruments,CS,AT0000743059,,common_equity_candidate,False,False,False,False,True,True,True,True,False,False,True,0,audited_pending_eligibility_policy_v2_33b,eligible_for_financial_enrichment,equity_or_depositary_receipt_with_complete_operational_identity,False,False,financial_and_market_coverage_not_yet_available_or_validated,repaired_v2_33p,xetra_company_name_recovered_via_openfigi_isin_exact_match,hold_provider_schema_xetra
36871,OEWA,VERBUND AG,XETR,AT,deutsche_boerse_xetra_all_tradable_instruments,CS,AT0000746409,,common_equity_candidate,False,False,False,False,True,True,True,True,False,False,True,0,audited_pending_eligibility_policy_v2_33b,eligible_for_financial_enrichment,equity_or_depositary_receipt_with_complete_operational_identity,False,False,financial_and_market_coverage_not_yet_available_or_validated,repaired_v2_33p,xetra_company_name_recovered_via_openfigi_isin_exact_match,hold_provider_schema_xetra
36872,FAA,FABASOFT AG,XETR,AT,deutsche_boerse_xetra_all_tradable_instruments,CS,AT0000785407,,common_equity_candidate,False,False,False,False,True,True,True,True,False,False,True,0,audited_pending_eligibility_policy_v2_33b,eligible_for_financial_enrichment,equity_or_depositary_receipt_with_complete_operational_identity,False,False,financial_and_market_coverage_not_yet_available_or_validated,repaired_v2_33p,xetra_company_name_recovered_via_openfigi_isin_exact_match,hold_provider_schema_xetra
36873,UN9,UNIQA INSURANCE GROUP AG,XETR,AT,deutsche_boerse_xetra_all_tradable_instruments,CS,AT0000821103,,common_equity_candidate,False,False,False,False,True,True,True,True,False,False,True,0,audited_pending_eligibility_policy_v2_33b,eligible_for_financial_enrichment,equity_or_depositary_receipt_with_complete_operational_identity,False,False,financial_and_market_coverage_not_yet_available_or_validated,repaired_v2_33p,xetra_company_name_recovered_via_openfigi_isin_exact_match,hold_provider_schema_xetra
36874,WIB,WIENERBERGER AG,XETR,AT,deutsche_boerse_xetra_all_tradable_instruments,CS,AT0000831706,,common_equity_candidate,False,False,False,False,True,True,True,True,False,False,True,0,audited_pending_eligibility_policy_v2_33b,eligible_for_financial_enrichment,equity_or_depositary_receipt_with_complete_operational_identity,False,False,financial_and_market_coverage_not_yet_available_or_validated,repaired_v2_33p,xetra_company_name_recovered_via_openfigi_isin_exact_match,hold_provider_schema_xetra
