row_number,isin,reason
36876,AT0000946652,disagreeing_names_across_openfigi_records
36878,AT0000A25NJ6,disagreeing_names_across_openfigi_records
36888,BE0003818359,disagreeing_names_across_openfigi_records
36892,BG1100003166,disagreeing_names_across_openfigi_records
36907,CH0012214059,disagreeing_names_across_openfigi_records
36915,CH0042797206,disagreeing_names_across_openfigi_records
36922,CH0451123589,disagreeing_names_across_openfigi_records
36923,CH0557519201,disagreeing_names_across_openfigi_records
36930,CH1398992755,disagreeing_names_across_openfigi_records
36931,CNE1000031C1,disagreeing_names_across_openfigi_records
36932,DE0001218063,disagreeing_names_across_openfigi_records
36938,DE0005103006,disagreeing_names_across_openfigi_records
36939,DE0005104400,disagreeing_names_across_openfigi_records
36941,DE0005110001,disagreeing_names_across_openfigi_records
36947,DE0005157101,disagreeing_names_across_openfigi_records
36960,DE0005203947,disagreeing_names_across_openfigi_records
36972,DE0005408686,disagreeing_names_across_openfigi_records
36978,DE0005490601,disagreeing_names_across_openfigi_records
36981,DE0005493365,disagreeing_names_across_openfigi_records
36995,DE0005653604,disagreeing_names_across_openfigi_records
36996,DE0005659700,disagreeing_names_across_openfigi_records
36998,DE0005677108,disagreeing_names_across_openfigi_records
37000,DE0005759807,disagreeing_names_across_openfigi_records
37001,DE0005760029,disagreeing_names_across_openfigi_records
37003,DE0005772206,disagreeing_names_across_openfigi_records
37008,DE0005785802,disagreeing_names_across_openfigi_records
37009,DE0005800601,disagreeing_names_across_openfigi_records
37013,DE0005874846,disagreeing_names_across_openfigi_records
37019,DE0006042708,disagreeing_names_across_openfigi_records
37021,DE0006047004,disagreeing_names_across_openfigi_records
37023,DE0006048432,disagreeing_names_across_openfigi_records
37031,DE0006214687,disagreeing_names_across_openfigi_records
37033,DE0006223407,disagreeing_names_across_openfigi_records
37038,DE0006292030,disagreeing_names_across_openfigi_records
37041,DE0006450000,disagreeing_names_across_openfigi_records
37045,DE0006569908,disagreeing_names_across_openfigi_records
37057,DE0006968001,disagreeing_names_across_openfigi_records
37064,DE0007074007,disagreeing_names_across_openfigi_records
37085,DE0007480204,disagreeing_names_across_openfigi_records
37090,DE0007551509,disagreeing_names_across_openfigi_records
37102,DE0008131350,disagreeing_names_across_openfigi_records
37103,DE0008148206,disagreeing_names_across_openfigi_records
37108,DE0008430026,disagreeing_names_across_openfigi_records
37111,DE000A0BL849,disagreeing_names_across_openfigi_records
37117,DE000A0H1GY2,disagreeing_names_across_openfigi_records
37121,DE000A0HMWM7,no_openfigi_record_for_isin
37126,DE000A0JL9W6,disagreeing_names_across_openfigi_records
37131,DE000A0LBKW6,disagreeing_names_across_openfigi_records
37135,DE000A0LR936,disagreeing_names_across_openfigi_records
37141,DE000A0N3EU3,disagreeing_names_across_openfigi_records
37145,DE000A0S9QZ8,disagreeing_names_across_openfigi_records
37146,DE000A0SMU87,disagreeing_names_across_openfigi_records
37154,DE000A0Z1JH9,disagreeing_names_across_openfigi_records
37155,DE000A0Z23Q5,disagreeing_names_across_openfigi_records
37161,DE000A12DM80,disagreeing_names_across_openfigi_records
37163,DE000A12UMB1,disagreeing_names_across_openfigi_records
37166,DE000A12UPJ7,disagreeing_names_across_openfigi_records
37169,DE000A14KRD3,disagreeing_names_across_openfigi_records
37173,DE000A161N22,disagreeing_names_across_openfigi_records
37178,DE000A1A6WB2,disagreeing_names_across_openfigi_records
37180,DE000A1DAHH0,disagreeing_names_across_openfigi_records
37184,DE000A1EWXA4,disagreeing_names_across_openfigi_records
37186,DE000A1K0201,disagreeing_names_across_openfigi_records
37187,DE000A1K0235,disagreeing_names_across_openfigi_records
37191,DE000A1MMEV4,disagreeing_names_across_openfigi_records
37207,DE000A254294,disagreeing_names_across_openfigi_records
37214,DE000A2BPK34,disagreeing_names_across_openfigi_records
37218,DE000A2E4LE9,disagreeing_names_across_openfigi_records
37219,DE000A2E4SV8,disagreeing_names_across_openfigi_records
37226,DE000A2GSU42,disagreeing_names_across_openfigi_records
37227,DE000A2LQ2D0,disagreeing_names_across_openfigi_records
37230,DE000A2N4H07,disagreeing_names_across_openfigi_records
37232,DE000A2NB650,disagreeing_names_across_openfigi_records
37233,DE000A2NBX80,disagreeing_names_across_openfigi_records
37234,DE000A2P4HL9,disagreeing_names_across_openfigi_records
37238,DE000A2YN900,disagreeing_names_across_openfigi_records
37246,DE000A3C35W0,disagreeing_names_across_openfigi_records
37254,DE000A3DW408,disagreeing_names_across_openfigi_records
37255,DE000A3E00M1,disagreeing_names_across_openfigi_records
37258,DE000A3E5D56,disagreeing_names_across_openfigi_records
37261,DE000A3E5ED2,disagreeing_names_across_openfigi_records
37270,DE000A3MQRK6,disagreeing_names_across_openfigi_records
37280,DE000A40ZUV2,disagreeing_names_across_openfigi_records
37284,DE000A40ZW88,disagreeing_names_across_openfigi_records
37289,DE000A41YE64,disagreeing_names_across_openfigi_records
37290,DE000A41YE98,no_openfigi_record_for_isin
37292,DE000A41YFA8,no_openfigi_record_for_isin
37302,DE000BGAG981,no_openfigi_record_for_isin
37309,DE000FTG1111,disagreeing_names_across_openfigi_records
37317,DE000LEG1110,disagreeing_names_across_openfigi_records
37322,DE000PAT1AG3,disagreeing_names_across_openfigi_records
37325,DE000RENK730,disagreeing_names_across_openfigi_records
37338,DE000VNC0014,disagreeing_names_across_openfigi_records
37342,DE000WNDL300,disagreeing_names_across_openfigi_records
37346,DK0010244425,disagreeing_names_across_openfigi_records
37354,DK0060079531,disagreeing_names_across_openfigi_records
37358,DK0060336014,disagreeing_names_across_openfigi_records
37378,ES0173516115,disagreeing_names_across_openfigi_records
37402,FR0000121147,disagreeing_names_across_openfigi_records
37411,FR0000127771,disagreeing_names_across_openfigi_records
37461,GB00BFMBMT84,disagreeing_names_across_openfigi_records
37492,IE00BLP1HW54,disagreeing_names_across_openfigi_records
37496,IT0000062072,disagreeing_names_across_openfigi_records
37498,IT0000066123,disagreeing_names_across_openfigi_records
37501,IT0001347308,disagreeing_names_across_openfigi_records
37509,IT0004810054,disagreeing_names_across_openfigi_records
37534,LU2333563281,disagreeing_names_across_openfigi_records
37536,LU2358378979,disagreeing_names_across_openfigi_records
37550,NL0000888691,disagreeing_names_across_openfigi_records
37554,NL0009805522,disagreeing_names_across_openfigi_records
37563,NL0011540547,disagreeing_names_across_openfigi_records
37571,NL0012817175,disagreeing_names_across_openfigi_records
37588,SE0018538068,disagreeing_names_across_openfigi_records
37601,US00508Y1029,disagreeing_names_across_openfigi_records
37617,US01675A2087,disagreeing_names_across_openfigi_records
37669,US0605051046,disagreeing_names_across_openfigi_records
37677,US0900431000,disagreeing_names_across_openfigi_records
37678,US09062X1037,disagreeing_names_across_openfigi_records
37682,US09260D1072,disagreeing_names_across_openfigi_records
37707,US1255231003,disagreeing_names_across_openfigi_records
37715,US1344291091,disagreeing_names_across_openfigi_records
37727,US16115Q3083,no_openfigi_record_for_isin
37731,US1651677353,disagreeing_names_across_openfigi_records
37732,US1667641005,disagreeing_names_across_openfigi_records
37739,US17253J1060,disagreeing_names_across_openfigi_records
37756,US20337X1090,disagreeing_names_across_openfigi_records
37855,US3453708600,disagreeing_names_across_openfigi_records
37863,US35834F1049,disagreeing_names_across_openfigi_records
37872,US3696043013,disagreeing_names_across_openfigi_records
37892,US4165151048,disagreeing_names_across_openfigi_records
37910,US44862P2083,disagreeing_names_across_openfigi_records
37935,US46625H1005,disagreeing_names_across_openfigi_records
37939,US4778391049,disagreeing_names_across_openfigi_records
37942,US4824801009,disagreeing_names_across_openfigi_records
37972,US53115L1044,disagreeing_names_across_openfigi_records
37973,US5312297550,disagreeing_names_across_openfigi_records
37989,US55825T1034,disagreeing_names_across_openfigi_records
37993,US5657881067,disagreeing_names_across_openfigi_records
