check,expected,actual,target,status
population:ELIGIBLE_PARTIAL,318,318,,PASS
population:PARTIAL_COMPARABILITY,373,373,,PASS
population:REVIEW_REQUIRED,124,124,,PASS
population:BLOCKED,270,270,,PASS
population:NOT_YET_SCORED_NO_ADAPTER,26,26,,PASS
population:TOTAL,1111,1111,,PASS
ui_feature_present:global_ranking_search,,,app_v2_37.py,PASS
ui_feature_present:global_ranking_score_range,,,app_v2_37.py,PASS
ui_feature_present:global_ranking_coverage_range,,,app_v2_37.py,PASS
ui_feature_present:global_ranking_top_n,,,app_v2_37.py,PASS
ui_feature_present:Descargar CSV filtrado,,,app_v2_37.py,PASS
ui_feature_present:Cobertura insuficiente,,,app_v2_37.py,PASS
ui_feature_present:filter_global_ranking_rows,,,app_v2_37.py,PASS
ui_feature_present:global_ranking_export_frame,,,app_v2_37.py,PASS
app_recompute_or_network_absent:score_assets(,,,app_v2_37.py,PASS
app_recompute_or_network_absent:percentile_scores(,,,app_v2_37.py,PASS
app_recompute_or_network_absent:build_raw_factors(,,,app_v2_37.py,PASS
app_recompute_or_network_absent:subprocess.,,,app_v2_37.py,PASS
app_recompute_or_network_absent:os.system(,,,app_v2_37.py,PASS
app_recompute_or_network_absent:requests.,,,app_v2_37.py,PASS
app_recompute_or_network_absent:httpx.,,,app_v2_37.py,PASS
app_recompute_or_network_absent:urlopen(,,,app_v2_37.py,PASS
loader_recompute_or_network_absent:score_assets(,,,src/ui_v2_37/global_ranking.py,PASS
loader_recompute_or_network_absent:percentile_scores(,,,src/ui_v2_37/global_ranking.py,PASS
loader_recompute_or_network_absent:build_raw_factors(,,,src/ui_v2_37/global_ranking.py,PASS
loader_recompute_or_network_absent:subprocess.,,,src/ui_v2_37/global_ranking.py,PASS
loader_recompute_or_network_absent:os.system(,,,src/ui_v2_37/global_ranking.py,PASS
loader_recompute_or_network_absent:requests.,,,src/ui_v2_37/global_ranking.py,PASS
loader_recompute_or_network_absent:httpx.,,,src/ui_v2_37/global_ranking.py,PASS
loader_recompute_or_network_absent:urllib.,,,src/ui_v2_37/global_ranking.py,PASS
loader_recompute_or_network_absent:urlopen(,,,src/ui_v2_37/global_ranking.py,PASS
ui_mentions_v2_38bv,,,app_v2_37.py,PASS
ui_mentions_v2_38bx,,,app_v2_37.py,PASS
export_excludes_private_watchlists,,,app_v2_37.py,PASS
scoring_recomputed,false,false,,PASS
methodology_changed,false,false,,PASS
weights_changed,false,false,,PASS
network_allowed,false,false,,PASS
broker_actions_allowed,false,false,,PASS
financial_advice_allowed,false,false,,PASS
recommendations_allowed,false,false,,PASS
no_positive_advice_language:app_v2_37.py,true,true,,PASS
no_positive_advice_language:src/ui_v2_37/global_ranking.py,true,true,,PASS
