pilot_id,ticker,exchange,status,provider_symbol
U33160,1301,JPX,resolved_prior_exact_match,13010
U33250,1803,JPX,resolved_prior_exact_match,18030
U33341,1994,JPX,resolved_prior_exact_match,19940
U33432,2294,JPX,resolved_prior_exact_match,22940
U33522,2492,JPX,resolved_prior_exact_match,24920
U33612,277A,JPX,resolved_prior_exact_match,277A0
U33702,2991,JPX,resolved_prior_exact_match,29910
U33793,3157,JPX,resolved_prior_exact_match,31570
U33884,3359,JPX,resolved_prior_exact_match,33590
U33974,3542,JPX,resolved_prior_exact_match,35420
U34064,3697,JPX,resolved_prior_exact_match,36970
U34155,3908,JPX,resolved_prior_exact_match,39080
U34245,4040,JPX,resolved_prior_exact_match,40400
U34335,4202,JPX,resolved_prior_exact_match,42020
U34425,4371,JPX,resolved_prior_exact_match,43710
U34516,4490,JPX,resolved_prior_exact_match,44900
U34606,4644,JPX,resolved_prior_exact_match,46440
U34696,4828,JPX,resolved_prior_exact_match,48280
U34786,5031,JPX,resolved_prior_exact_match,50310
U34877,5310,JPX,resolved_prior_exact_match,53100
U34967,5632,JPX,resolved_prior_exact_match,56320
U35057,5947,JPX,resolved_prior_exact_match,59470
U35147,6098,JPX,resolved_prior_exact_match,60980
U35238,6269,JPX,resolved_prior_exact_match,62690
U35328,6420,JPX,resolved_prior_exact_match,64200
U35418,6571,JPX,resolved_prior_exact_match,65710
U35508,6763,JPX,resolved_prior_exact_match,67630
U35599,6946,JPX,resolved_prior_exact_match,69460
U35689,7094,JPX,resolved_prior_exact_match,70940
U35779,7272,JPX,resolved_prior_exact_match,72720
U35869,7460,JPX,resolved_prior_exact_match,74600
U35960,7638,JPX,resolved_prior_exact_match,76380
U36050,7823,JPX,resolved_prior_exact_match,78230
U36140,7984,JPX,resolved_prior_exact_match,79840
U36230,8135,JPX,resolved_prior_exact_match,81350
U36322,8381,JPX,resolved_prior_exact_match,83810
U36413,8848,JPX,resolved_prior_exact_match,88480
U36503,9107,JPX,resolved_prior_exact_match,91070
U36593,9327,JPX,resolved_prior_exact_match,93270
U36684,9537,JPX,resolved_prior_exact_match,95370
U36774,9769,JPX,resolved_prior_exact_match,97690
U36864,9997,JPX,resolved_prior_exact_match,99970
