risk_id,title,category,source_phase,severity,likelihood,status,is_blocking,evidence_path,user_impact,mitigation,owner,next_action
RISK-001,Ranking experimental may be read as investment advice,PRODUCT_POSITIONING,v2.38BX/v2.38BZ/v2.38CF,HIGH,MEDIUM,MITIGATED,false,outputs/full_universe_source_acquisition/v2_38cf_streamlit_visual_smoke_test/streamlit_visual_smoke_test_summary_v2_38cf.json,User could over-trust a research prioritization score.,"Repeated no-advice disclaimers, read-only UI and no broker workflow.",Product,Keep disclaimers visible through v2.38CH audit.
RISK-002,270 assets blocked by low real factor coverage,DATA_COVERAGE,v2.38BV/v2.38CD,MEDIUM,HIGH,ACCEPTED_LIMITATION,false,outputs/full_universe_source_acquisition/v2_38cd_required_outputs_diagnostics/missing_data_diagnostics_v2_38cd.csv,Some assets cannot be ranked and may disappoint coverage expectations.,Blocked population remains visible and excluded from main ranking.,Data,Prioritize coverage work only after release candidate closure.
RISK-003,26 assets have no scoring adapter,DATA_COVERAGE,v2.38BV/v2.38CD,MEDIUM,MEDIUM,ACCEPTED_LIMITATION,false,outputs/full_universe_source_acquisition/v2_38cd_required_outputs_diagnostics/missing_data_diagnostics_v2_38cd.csv,Eligible-looking assets remain unscored.,Explicit NOT_YET_SCORED_NO_ADAPTER state.,Data,Create adapters in a later authorized phase.
RISK-004,124 assets require manual or special-model review,DATA_QUALITY,v2.38BV/v2.38BX,HIGH,MEDIUM,DEFERRED,false,outputs/full_universe_source_acquisition/v2_38bx_phase9c_closure_audit/phase9c_closure_audit_summary_v2_38bx.json,Financial institutions and outlier margins may be misunderstood.,"Separated REVIEW_REQUIRED population, never auto-ranked.",Data/Methodology,Keep separate until a sector-specific contract exists.
RISK-005,No real browser screenshots in v2.38CF environment,ENVIRONMENT,v2.38CF,MEDIUM,HIGH,OPEN,false,outputs/full_universe_source_acquisition/v2_38cf_streamlit_visual_smoke_test/streamlit_visual_smoke_test_summary_v2_38cf.json,Visual regressions may remain unseen in this execution environment.,Structural smoke test is explicit and screenshots_available=false.,QA,Run real browser smoke test in Windows or a browser-enabled environment.
RISK-006,Manifest-based package without heavy ZIP,PACKAGING,v2.38CE,LOW,MEDIUM,ACCEPTED_LIMITATION,false,outputs/full_universe_source_acquisition/v2_38ce_windows_reproducible_packaging/windows_reproducible_packaging_summary_v2_38ce.json,User must reproduce package through repo checkout and manifest rather than a single archive.,Manifest lists included/excluded files and hashes.,Release,Evaluate ZIP only if final publication needs it.
RISK-007,Windows local environment dependency drift,ENVIRONMENT,v2.38CB/v2.38CE,MEDIUM,MEDIUM,MITIGATED,false,outputs/full_universe_source_acquisition/v2_38ce_windows_reproducible_packaging/windows_reproducible_packaging_summary_v2_38ce.json,Different Python/dependency versions can affect local startup.,"Requirements, launcher and preflight checklist are documented.",Release,Verify on the user's Windows machine during v2.38CH.
RISK-008,Cboe Europe mass identity expansion deferred,DATA_COVERAGE,v2.38BB/v2.38CD,MEDIUM,MEDIUM,DEFERRED,false,outputs/full_universe_source_acquisition/v2_38cd_required_outputs_diagnostics/missing_data_diagnostics_v2_38cd.csv,European coverage remains lower than it could be.,Explicit scope-decision limitation; not blocking local release.,Data,Require explicit authorization before expansion.
RISK-009,UK official source automation blocked,OPERATIONAL,v2.38BL/v2.38CD,MEDIUM,MEDIUM,BLOCKED,false,outputs/full_universe_source_acquisition/v2_38cd_required_outputs_diagnostics/missing_data_diagnostics_v2_38cd.csv,UK fundamentals coverage cannot be safely automated now.,Documented as non-blocking source-access limitation.,Data,Do not bypass access restrictions; revisit with safe source path.
RISK-010,Offshore or low-disclosure sources remain incomplete,DATA_COVERAGE,v2.38BM/v2.38CD,MEDIUM,MEDIUM,ACCEPTED_LIMITATION,false,outputs/full_universe_source_acquisition/v2_38cd_required_outputs_diagnostics/missing_data_diagnostics_v2_38cd.csv,Some jurisdictions remain identity-only or no-disclosure.,Limitations are visible and separated from ranked universe.,Data,Keep as limitation unless new public sources are authorized.
RISK-011,Current scoring method lacks predictive validation claim,METHODOLOGY,v2.38BX/v2.38BZ,HIGH,MEDIUM,MITIGATED,false,outputs/full_universe_source_acquisition/v2_38bz_product_readiness_gate/product_readiness_gate_summary_v2_38bz.json,Score could be mistaken for a proven predictor.,"Product copy says research ranking, not prediction.",Methodology,Reconfirm language during release candidate audit.
RISK-012,Legal/compliance no-advice boundary must remain intact,LEGAL_COMPLIANCE,v2.38BZ/v2.38CF,HIGH,MEDIUM,MITIGATED,false,outputs/full_universe_source_acquisition/v2_38cf_streamlit_visual_smoke_test/streamlit_visual_smoke_test_summary_v2_38cf.json,"Bad wording could imply advice, suitability or recommendation.","No buy/sell/hold language, no broker actions, no price targets.",Product/Legal,Audit public docs before final publication.
RISK-013,UX exposes multiple separated populations,UX,v2.38BY/v2.38CF,LOW,MEDIUM,MITIGATED,false,outputs/full_universe_source_acquisition/v2_38cf_streamlit_visual_smoke_test/streamlit_visual_smoke_test_summary_v2_38cf.json,Users may find statuses confusing.,"Tabs, labels and guide explain each population.",Product,Validate with real visual smoke test.
RISK-014,"Product is still local release candidate, not final publication",PRODUCT_POSITIONING,v2.38CE/v2.38CF,MEDIUM,HIGH,ACCEPTED_LIMITATION,false,outputs/full_universe_source_acquisition/v2_38ce_windows_reproducible_packaging/windows_reproducible_packaging_summary_v2_38ce.json,Users may assume the project is final.,Roadmap keeps CH/CI/CJ pending.,Release,Do not call final until CJ.
