research_rank,asset_id,ticker,company_name,exchange,cik,candidate_matrix_status,evidence_level,experimental_score,score_bucket,fundamentals_quality_score,growth_momentum_score,profitability_cashflow_score,price_momentum_trend_score,risk_liquidity_score,top_positive_drivers,top_risk_drivers,missing_reason,experimental_score_notes,scoring_calculated,ranking_calculated,recommendation_generated,phase
1,U00597,CGEN,Compugen Ltd. - Ordinary Shares,NASDAQ,0001119774,CANDIDATE_MATRIX_READY,high,87.3314,INVESTIGATE_HIGH,90.0,83.0554,100.0,89.401,58.4015,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,large 12m drawdown; high 6m volatility,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
2,U00489,BWFG,"Bankwell Financial Group, Inc. - Common Stock",NASDAQ,0001505732,CANDIDATE_MATRIX_READY,high,86.9175,INVESTIGATE_HIGH,87.8263,81.0027,100.0,87.0118,69.6674,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,balance-sheet risk flag,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
3,U00040,ACNB,ACNB Corporation - Common Stock,NASDAQ,0000715579,CANDIDATE_MATRIX_READY,high,84.0633,INVESTIGATE_HIGH,83.2113,80.8279,96.9682,82.6871,70.0323,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,balance-sheet risk flag,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
4,U00126,ALAB,"Astera Labs, Inc. - Common Stock",NASDAQ,0001736297,CANDIDATE_MATRIX_READY,high,83.8049,INVESTIGATE_HIGH,100.0,70.0,100.0,80.4703,37.1081,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,large 12m drawdown; high 6m volatility; risk/liquidity component below 55,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
5,U00276,ATEX,Anterix Inc. - Common Stock,NASDAQ,0001304492,CANDIDATE_MATRIX_READY,high,83.3366,INVESTIGATE_HIGH,93.9215,60.2416,100.0,87.0,57.1186,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,high 6m volatility,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
6,U00503,CAC,Camden National Corporation - Common Stock,NASDAQ,0000750686,CANDIDATE_MATRIX_READY,high,80.9777,INVESTIGATE_HIGH,81.8476,67.5678,100.0,79.941,69.2162,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,balance-sheet risk flag,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
7,U00025,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,0001070494,CANDIDATE_MATRIX_READY,high,80.9259,INVESTIGATE_HIGH,94.7928,65.8291,92.7006,68.6348,70.5515,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
8,U00482,BUSE,First Busey Corporation - Common Stock,NASDAQ,0000314489,CANDIDATE_MATRIX_READY,high,80.5503,INVESTIGATE_HIGH,83.9591,80.2527,96.2416,63.8392,72.9586,positive revenue growth; positive profitability/FCF signal; positive 12m momentum,balance-sheet risk flag,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
9,U00522,CART,Maplebear Inc. - Common Stock,NASDAQ,0001579091,CANDIDATE_MATRIX_READY,high,78.7464,INVESTIGATE_HIGH,88.629,62.783,92.7196,72.7679,65.0358,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
10,U00425,BMRN,BioMarin Pharmaceutical Inc. - Common Stock,NASDAQ,0001048477,CANDIDATE_MATRIX_READY,high,78.0671,INVESTIGATE_HIGH,89.7153,65.4147,91.2792,61.4709,75.1954,positive revenue growth; positive profitability/FCF signal; positive price trend; positive 12m momentum,no dominant risk flag in tracked fields,,"Research-only experimental score; not a recommendation, prediction, buy/sell/hold signal or financial advice.",true,true,false,v2.38K-us-experimental-scoring
