asset_id,ticker,component,weight,raw_component_score,weighted_points,input_fields,phase
U00006,AAL,fundamentals_quality,0.3,36.3949,10.9185,revenue_growth_yoy|net_margin|free_cash_flow_margin|debt_to_assets,v2.38K-us-experimental-scoring
U00006,AAL,growth_momentum,0.2,39.2791,7.8558,revenue_growth_yoy|growth_positive_flag|price_acceleration_flag|return_3m,v2.38K-us-experimental-scoring
U00006,AAL,profitability_cashflow,0.2,40.3454,8.0691,net_margin|free_cash_flow_margin|profitability_positive_flag,v2.38K-us-experimental-scoring
U00006,AAL,price_momentum_trend,0.2,29.7722,5.9544,return_12m|return_6m|price_vs_sma_200|trend_positive_flag|recent_high_breakout_flag,v2.38K-us-experimental-scoring
U00006,AAL,risk_liquidity,0.1,61.1609,6.1161,volatility_6m|volatility_3m|max_drawdown_12m|max_drawdown_6m|debt_to_assets|liquidity_available_flag,v2.38K-us-experimental-scoring
U00007,AAME,fundamentals_quality,0.3,52.2782,15.6835,revenue_growth_yoy|net_margin|free_cash_flow_margin|debt_to_assets,v2.38K-us-experimental-scoring
U00007,AAME,growth_momentum,0.2,36.0236,7.2047,revenue_growth_yoy|growth_positive_flag|price_acceleration_flag|return_3m,v2.38K-us-experimental-scoring
U00007,AAME,profitability_cashflow,0.2,53.6215,10.7243,net_margin|free_cash_flow_margin|profitability_positive_flag,v2.38K-us-experimental-scoring
U00007,AAME,price_momentum_trend,0.2,0.0,0.0,return_12m|return_6m|price_vs_sma_200|trend_positive_flag|recent_high_breakout_flag,v2.38K-us-experimental-scoring
U00007,AAME,risk_liquidity,0.1,36.5976,3.6598,volatility_6m|volatility_3m|max_drawdown_12m|max_drawdown_6m|debt_to_assets|liquidity_available_flag,v2.38K-us-experimental-scoring
U00008,AAOI,fundamentals_quality,0.3,69.4675,20.8403,revenue_growth_yoy|net_margin|free_cash_flow_margin|debt_to_assets,v2.38K-us-experimental-scoring
U00008,AAOI,growth_momentum,0.2,70.0,14.0,revenue_growth_yoy|growth_positive_flag|price_acceleration_flag|return_3m,v2.38K-us-experimental-scoring
U00008,AAOI,profitability_cashflow,0.2,6.6114,1.3223,net_margin|free_cash_flow_margin|profitability_positive_flag,v2.38K-us-experimental-scoring
U00008,AAOI,price_momentum_trend,0.2,67.5484,13.5097,return_12m|return_6m|price_vs_sma_200|trend_positive_flag|recent_high_breakout_flag,v2.38K-us-experimental-scoring
U00008,AAOI,risk_liquidity,0.1,31.9816,3.1982,volatility_6m|volatility_3m|max_drawdown_12m|max_drawdown_6m|debt_to_assets|liquidity_available_flag,v2.38K-us-experimental-scoring
U00009,AAON,fundamentals_quality,0.3,20.0,6.0,revenue_growth_yoy|net_margin|free_cash_flow_margin|debt_to_assets,v2.38K-us-experimental-scoring
U00009,AAON,growth_momentum,0.2,0.0,0.0,revenue_growth_yoy|growth_positive_flag|price_acceleration_flag|return_3m,v2.38K-us-experimental-scoring
U00009,AAON,profitability_cashflow,0.2,0.0,0.0,net_margin|free_cash_flow_margin|profitability_positive_flag,v2.38K-us-experimental-scoring
U00009,AAON,price_momentum_trend,0.2,13.2625,2.6525,return_12m|return_6m|price_vs_sma_200|trend_positive_flag|recent_high_breakout_flag,v2.38K-us-experimental-scoring
U00009,AAON,risk_liquidity,0.1,50.2691,5.0269,volatility_6m|volatility_3m|max_drawdown_12m|max_drawdown_6m|debt_to_assets|liquidity_available_flag,v2.38K-us-experimental-scoring
U00011,AAPL,fundamentals_quality,0.3,77.4873,23.2462,revenue_growth_yoy|net_margin|free_cash_flow_margin|debt_to_assets,v2.38K-us-experimental-scoring
U00011,AAPL,growth_momentum,0.2,50.4051,10.081,revenue_growth_yoy|growth_positive_flag|price_acceleration_flag|return_3m,v2.38K-us-experimental-scoring
U00011,AAPL,profitability_cashflow,0.2,99.4087,19.8817,net_margin|free_cash_flow_margin|profitability_positive_flag,v2.38K-us-experimental-scoring
U00011,AAPL,price_momentum_trend,0.2,81.3122,16.2624,return_12m|return_6m|price_vs_sma_200|trend_positive_flag|recent_high_breakout_flag,v2.38K-us-experimental-scoring
U00011,AAPL,risk_liquidity,0.1,71.1689,7.1169,volatility_6m|volatility_3m|max_drawdown_12m|max_drawdown_6m|debt_to_assets|liquidity_available_flag,v2.38K-us-experimental-scoring
