pilot_id,ticker,company_name,status,reason,share_class_figi,exchange_codes,composite_exchange_codes,openfigi_result_truncated_at_100
P024,013Ad,JD.com Inc,unresolved,no_exact_normalized_name_match,,,,
P025,0HR4l,CMS Energy Corp,identified_candidate,exact_normalized_name_match_single_company,BBG001S5PYJ3,"B3,BW,E1,EO,EP,EU,EZ,GD,GF,GH,GM,GR,GS,GY,GZ,L3,LA,LN,LU,MF,MM,MU,OC,OD,PO,QT,SW,TH,UA,UB,UC,UD,UF,UM,UN,UP,US,UT,UX,VF,VG,VJ,VK,VL,VP,VT,VY,X2,X9,XA,XB,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XU,XV,XW,XX,XY,XZ","EO,GR,MM,SW,US,X2",True
P026,0J76l,Huntington Ingalls Industries Inc,unresolved,no_exact_normalized_name_match,,,,
P027,0KTSl,Ralph Lauren Corp,identified_candidate,exact_normalized_name_match_single_company,BBG001S9TL45,"B3,BW,E1,EP,EU,GD,GF,GM,GR,GY,GZ,IF,IM,L1,L3,LA,LN,LU,MF,MM,MU,OC,PO,QT,SW,UA,UB,UD,UF,UM,UN,UP,UT,UX,VF,VG,VJ,VK,VP,VT,VY,X2,X9,XA,XB,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XT,XU,XV,XX,XZ","GR,MM,SW,X2",True
P028,0QAHl,Merck & Co Inc,identified_candidate,exact_normalized_name_match_single_company,BBG001S5TC52,"B3,BW,CC,CE,CI,E1,EB,EO,EP,EU,EZ,GD,GZ,L1,L3,LN,MM,OC,OU,PE,PO,QT,QU,S4,SE,SW,UA,UD,UX,UZ,VJ,VP,VT,X2,X9,XA,XD,XF,XH,XJ,XL,XO,XQ,XS,XU,XV,XW,XX","CI,EO,MM,SW,XS",True
P029,0UBd,UBS Group AG,identified_candidate,exact_normalized_name_match_single_company,BBG01VVQMQM2,"EO,EZ,XA,XV,XW",EO,True
P030,1330n,Dynagreen Environmental Protection Group Co Ltd,unresolved,no_exact_normalized_name_match,,,,
P031,19Hd,Hercules Capital Inc,identified_candidate,exact_normalized_name_match_single_company,BBG001SDPHZ5,"B3,E1,EP,EU,EZ,GD,GF,GH,GM,GR,GS,GZ,L1,L3,LA,LN,LU,OC,PO,QT,TH,UA,UB,UC,UD,UF,UM,UN,UP,US,UT,UX,VF,VG,VJ,VK,VL,VP,VT,VY,X1,X2,X9,XA,XB,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XU,XV,XW,XX,XZ","GR,US,X2,XS",True
P032,1BAm,Boeing Co/The,identified_candidate,exact_normalized_name_match_single_company,BBG001S5P0V3,"B3,BQ,BW,CC,CE,CI,E1,EO,EP,EU,EZ,GD,GF,GH,GM,GR,I2,IM,KZ,L1,L3,LU,MM,MU,OD,PE,PO,PW,QE,SE,SW,UA,UC,UD,UF,US,UT,VF,VG,VK,VY,X1,X2,X9,XA,XF,XG,XH,XJ,XL,XO,XQ,XS,XT,XV,XW,XX","CI,EO,GR,MM,SW,US",True
P033,1DECKm,Deckers Outdoor Corp,identified_candidate,exact_normalized_name_match_single_company,BBG001S7GXB9,"AV,B3,E1,EP,EU,GD,GF,GM,GS,GY,GZ,IF,IM,IX,L1,LA,LN,LU,MM,MU,OC,PO,QT,S1,S4,SW,TH,UB,UC,UD,UF,UM,UN,US,UT,UX,VF,VG,VK,VL,VY,X2,X9,XA,XB,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XU,XV,XW,XX,XZ","MM,SW,US,X2",True
P034,1GDm,General Dynamics Corp,identified_candidate,exact_normalized_name_match_single_company,BBG001S5RHP1,"AV,B3,BW,E1,EO,EP,EU,EZ,GD,GF,GM,GR,GS,GZ,IM,L1,L3,LA,LN,LU,MM,MU,OC,OD,PO,QT,SW,TE,TH,UA,UB,UC,UD,UF,UM,UN,UT,UX,VF,VG,VJ,VK,VL,VP,VT,VY,X1,X2,XA,XE,XF,XG,XH,XJ,XL,XO,XQ,XU,XV,XW,XX,XZ","EO,GR,MM,SW,X2",True
P035,1KDPm,Keurig Dr Pepper Inc,identified_candidate,exact_normalized_name_match_single_company,BBG001ST5W34,"AV,B3,BW,E1,EO,EP,EU,EZ,GD,GF,GH,GI,GM,GS,GZ,IF,L1,L3,LA,LN,MF,MM,MU,OC,OD,PO,QT,SW,TE,TH,UA,UB,UC,UD,UF,UM,UN,UW,UX,VF,VG,VJ,VK,VL,VP,VT,VY,X2,X9,XA,XE,XF,XG,XH,XJ,XL,XO,XQ,XU,XV,XW,XX,XZ","EO,MM,SW,X2",True
P036,1NESTm,Neste Oyj,identified_candidate,exact_normalized_name_match_single_company,BBG001SLD3K7,"B3,BQ,BW,E1,EO,EU,FH,GF,GH,GM,GS,GZ,IF,L1,L3,LO,LU,MF,PO,S4,TE,TH,WT,X1,XA,XE,XF,XG,XH,XJ,XQ,XS,XT,XU,XV,XW,XX,XZ","EO,XS",True
P037,1SANDm,Sandvik AB,identified_candidate,exact_normalized_name_match_single_company,BBG001S77WN8,"B3,BQ,BW,E1,EO,EP,EU,GF,GH,GI,GM,GS,I2,IM,IX,L1,L3,LA,LO,LU,MM,PO,QX,S1,S4,SS,T2,US,UV,WT,X1,X9,XA,XC,XF,XG,XH,XJ,XL,XO,XS,XT,XV,XW,XX","EO,MM,US",True
P038,1TRMBm,Trimble Inc,identified_candidate,exact_normalized_name_match_single_company,BBG001S5SZP0,"B3,E1,EO,EP,EU,EZ,GD,GF,GI,GM,GR,GS,GZ,IM,L1,L3,LA,LN,LU,MF,MM,MU,OC,OD,PO,QT,SW,TH,UA,UB,UC,UD,UF,UM,UN,UP,US,UW,UX,VF,VG,VJ,VK,VL,VP,VT,VY,X2,X9,XA,XB,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XU,XV,XW,XX,XZ","EO,GR,MM,SW,US,X2",True
P039,2006n,Shanghai Jin Jiang International Hotels Group Co Ltd,unresolved,no_exact_normalized_name_match,,,,
P040,2FEd,Ferrari NV,identified_candidate,exact_normalized_name_match_single_company,BBG009PH3Q95,"AV,B3,BQ,BU,BW,E1,EO,EP,EU,EZ,GF,GH,GR,GS,I2,IF,L1,L3,LU,MF,MM,MU,OC,PO,QE,QX,S1,S4,TQ,UA,UB,UC,UD,UF,UP,US,UX,VF,VJ,VK,VL,VP,VT,X1,X2,X9,XA,XE,XF,XG,XH,XJ,XL,XO,XQ,XU,XV,XW,XX,XZ","EO,GR,MM,US",True
P041,384n,China Gas Holdings Ltd,identified_candidate,exact_normalized_name_match_single_company,BBG001S7TT33,"B3,E1,EO,EP,EU,EZ,GD,GF,GH,GI,GM,GR,GS,GZ,H1,H2,HK,L1,L3,LA,LU,PO,QT,TH,US,UV,X2,X9,XA,XB,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XU,XV,XW,XX,XZ","EO,GR,US,X2,XS",True
P042,4BBl,4basebio PLC,identified_candidate,exact_normalized_name_match_single_company,BBG00Z46T869,"B3,E1,EO,EP,EU,EZ,GD,GF,GM,GR,GS,GY,GZ,L1,L3,LA,LN,LU,PO,PQ,QT,US,UV,X1,X2,XA,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XT,XU,XV,XW,XX,XY,XZ","EO,GR,US,XS",False
P043,6457n,Glory Ltd,identified_candidate,exact_normalized_name_match_single_company,BBG001S6LFM2,"B3,E1,EP,EU,EZ,GD,GF,GR,GS,JE,JI,JJ,JP,JT,JU,JV,JW,L1,L3,LA,LU,PO,PQ,QT,US,UV,X1,X2,X9,XA,XB,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XU,XV,XW,XX,XZ","GR,JP,US,X2,XS",True
P044,762n,China Unicom Hong Kong Ltd,identified_candidate,exact_normalized_name_match_single_company,BBG001SD46T9,"B3,E1,EO,EP,EU,EZ,GF,GM,GR,GS,GZ,H1,H2,HK,L1,L3,LA,LU,MF,MM,MU,PO,UV,X1,X2,X9,XA,XB,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XT,XU,XV,XW,XX,XY,XZ","EO,GR,MM,X2",True
P045,895n,Dongjiang Environmental Co Ltd,unresolved,no_exact_normalized_name_match,,,,
P046,AABc,Aalborg Boldspilklub A/S,identified_candidate,exact_normalized_name_match_single_company,BBG001SC0Z66,"B3,DC,E1,EB,EO,EP,EU,EZ,I2,IX,L1,L3,LN,PO,QE,QX,T1,TQ,X2,XA,XC,XE,XF,XG,XH,XJ,XL,XO,XS,XV,XW,XX",EO,False
P047,ACKHYc,European High Yield KL,unresolved,no_exact_normalized_name_match,,,,
P048,AEGOFn,Aegon NV,unresolved,no_exact_normalized_name_match,,,,
P049,AICl,Achilles Investment Co Ltd,identified_candidate,exact_normalized_name_match_single_company,BBG01SCHZLW6,"E1,EO,X1,X2,XQ,XX,XZ",EO,False
P050,ALBOAp,BOA Concept SACA,identified_candidate,exact_normalized_name_match_single_company,BBG011DV4KW9,"B3,E1,EP,EU,EZ,FP,GF,GM,GR,GS,GZ,L1,L3,LA,LU,PO,XA,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XU,XV,XW,XX,XZ","GR,XS",False
P051,ALHPIp,Hopium SA,identified_candidate,exact_normalized_name_match_single_company,BBG00YMTZ3T1,"B3,E1,EB,EP,EU,EZ,FP,GF,GM,GR,GS,GZ,I2,IX,L1,L3,LU,PO,PQ,QT,S1,S4,US,UV,X1,X2,XA,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XU,XV,XW,XX,XZ","GR,US,XS",False
P052,ALPNz,Alpine Select AG,unresolved,no_exact_normalized_name_match,,,,
P053,AMBUBc,Ambu A/S,unresolved,no_exact_normalized_name_match,,,,
P054,APETIh,Apetit Oyj,identified_candidate,exact_normalized_name_match_single_company,BBG001SF78X2,"B3,E1,EB,EO,EP,EU,EZ,FH,GR,I2,IX,L1,L3,LA,LN,LU,PO,QE,QX,S1,S4,T1,TQ,X1,X2,XA,XC,XE,XF,XG,XH,XJ,XL,XO,XP,XQ,XS,XT,XU,XV,XW,XX,XZ","EO,GR,XS",False
P055,ASEw,Asseco South Eastern Europe SA,identified_candidate,exact_normalized_name_match_single_company,BBG001T5XBL0,"B3,E1,EO,EP,EU,EZ,GF,GR,GZ,L1,L3,LA,LN,LU,PO,PW,X9,XL,XQ,XS,XV,XW,XX,XZ","EO,GR,XS",False
P056,AURAl,Aura Energy Ltd,identified_candidate,exact_normalized_name_match_single_company,BBG001SNXN36,"AH,AT,AU,B3,E1,EO,EP,EU,EZ,GF,GM,GR,GS,GZ,L3,LA,LN,LU,PO,PQ,TH,US,UV,X1,X2,XA,XE,XF,XG,XH,XJ,XL,XO,XQ,XS,XT,XU,XV,XW,XX,XZ","AU,EO,GR,US,XS",False
P057,BA05l,Morgan Advanced Materials PLC,unresolved,no_exact_normalized_name_match,,,,
P058,BCGEz,Banque Cantonale de Geneve,unresolved,no_exact_normalized_name_match,,,,
P059,BHP1d,BHP Group Ltd,identified_candidate,exact_normalized_name_match_single_company,BBG001S5YBT2,"AH,AT,AU,B3,E1,EB,EO,EP,EU,EZ,GF,GS,LA,MF,PO,SJ,SW,TH,US,X2,X9,XA,XE,XF,XG,XH,XJ,XO,XQ,XT,XU,XV,XW,XX,XZ","AU,EO,SW,US",True
P060,BLKz,Blackrock Inc,unresolved,ambiguous_multiple_distinct_companies_matched,"BBG001SDBP55,BBG01PSW2WR0",,,
P061,BOSNz,Bossard Holding AG,unresolved,no_exact_normalized_name_match,,,,
P062,BTAFFn,British American Tobacco PLC,identified_candidate,exact_normalized_name_match_single_company,BBG001S77T37,"B3,BU,E1,EO,EP,EU,EZ,GD,GF,GM,GS,GY,I2,L1,L3,LA,LU,MF,MM,PO,QT,QX,S1,SE,SJ,SW,TH,US,UV,X1,X2,XA,XC,XE,XF,XG,XH,XJ,XL,XO,XQ,XV,XW,XX,XZ","EO,MM,SW,US",True
